movie,user_review,source
The Dark Knight Rises,Christopher Nolan’s “Dark Knight Rises” wraps up his post-Sept. 11 epic of ambivalent good vs. multidimensional evil with a burst of light.,NYT
The Dark Knight,"Pitched at the divide between art and industry, poetry and entertainment, “The Dark Knight” goes darker and deeper than any Hollywood movie of its comic-book kind.",NYT
Inception,In Christopher Nolan’s “Inception” a specialist in corporate mental espionage and his co-workers penetrate the minds of their slumbering targets.,NYT
Parasite,"In Bong Joon Ho’s new film, a destitute family occupies a wealthy household in an elaborate scheme that goes comically — then horribly — wrong.",NYT
Seven,Murders based on seven deadly sins. Deadly dull.,NYT
The Silence of the Lambs,"Hannibal the Cannibal. Fast, witty and jolting.",NYT
The Prestige,"Entertaining, spirited and shamelessly gimmicky, Christopher Nolan’s film tells the intricate tale of two rival magicians practicing their art in late-Victorian London. ",NYT
The Departed,"Martin Scorsese's cubistic entertainment about men divided by power, loyalty and their own selves is at once a success and a relief.",NYT
Anna Karenina (Bolshoi Ballet),Bolshoi Ballet version of Tolstoy.,NYT
The Professional,"Italian hit man and orphan girl in New York. Quirky, sentimental, violent.",NYT
SHOT! The Psycho-Spiritual Mantra of Rock,"Mick Rock, the British photographer with the cool name and starry portfolio (Blondie, Lou Reed, David Bowie) is the subject of a new documentary.",NYT
Jimmy P.,“Jimmy P.” unconventionally tells the story of a troubled American Indian and war veteran and the psychoanalyst who tries to unlock the secrets of his personality.,NYT
Seven Psychopaths,"“Seven Psychopaths,” written and directed by Martin McDonagh, finds a writer in trouble in Los Angeles.",NYT
Psychopathia Sexualis,Not even necrophilia and the imaginative deployment of leeches can relieve this exercise in unrelenting dullness.,NYT
Psycho Beach Party,Gidget with multiple personalities. Captures 60's in ways stage production couldn't.,NYT
American Psycho,"Mary Harron's sleekly brilliant screen adaptation of Bret Easton Ellis's notorious 1991 novel pares away most of the book's gore to portray the main character's homicidal butchery as a high-gloss fantasy. The movie's chic blend of satire, comedy and horror is anchored in a star-making performance by Christian Bale as Patrick Bateman, a fashion-obsessed late-80's Wall Street hotshot who goes on a killing spree. Reese Witherspoon, Chloe Sevigny, Samantha Mathis and Cara Seymour give dazzling cameo performances as the unfortunate women in his life. The movie's message about a soulless surface-obsessed society still applies. &#151; Stephen Holden",NYT
Psycho,Back to the Bates Motel. Good-looking remake of Hitchcock classic.,NYT
Psycho III,"Back to the Bates Motel, under Perkins's lean direction. Good deadpan revamp. Best bit: bird feeder.",NYT
Psycho II,Norman Bates comes home. As tired and thin as an old shower curtain.,NYT
Psycho,Hitchcock's brilliantly grisly shocker set in isolated motel.,NYT
Rear Window,"Housebond voyeur suspects neighbor of murder. Tasteful, engaging update of Hitchcock classic.",NYT
Rear Window,Courtyard peeper gets more than he bargained for. Grand Hitchcock tingler.,NYT
Joker,"Todd Phillips’s supervillain origin story starring Joaquin Phoenix is stirring up a fierce debate, but it’s not interesting enough to argue about.",NYT
The Jokers,"Bright, sassy anti-establishment caper centered on two brothers. Good brash, mod fun from Britain.",NYT
The Lives of Others,"“The Lives of Others” is a supremely intelligent, unfailingly honest look at a shadowy period in recent German history.",NYT
Das Boot,"Graphic, probing drama of German U-boat, World War II. Strong stuff, powerhouse climax.",NYT
The Boat Is Full,"Jewish war refugees in Swiss village. Fresh, forceful, surprising drama.",NYT
North By Northwest,"Swank, crackerjack espionage sprinter, Manhattan to Mount Rushmore. Grade-A Hitchcock.",NYT
Vertigo,Retired sleuth's romantic obsession. Magnetic but far-fetched Hitchcock puzzle.,NYT
Double Indemnity,"A housewife (Barbara Stanwyck) plots to rub out hubby with the help of a nasty insurance agent (Fred MacMurray). Directed by Billy Wilder.
",NYT
The Last Mercenary,"In this diverting action comedy, Jean-Claude Van Damme plays a former secret agent forced back into action to save his estranged son.",NYT
Enemies of the State,This documentary on the strange case of Matt DeHart weaves uncertainty into its structure.,NYT
Bumperkleef,"In this Dutch thriller, a man puts his family in danger by refusing to apologize to a serial killer with a pious streak.",NYT
Stillwater,"Matt Damon plays a father determined to free his daughter from prison in the latest from Tom McCarthy, the director of “Spotlight.”",NYT
Resort to Love,"In this romantic comedy, a woman reeling from a failed engagement and a flailing career escapes to a glamorous island resort.",NYT
Lorelei,Pablo Schreiber and Jena Malone attempt to provide an anchor for this listless character drama.,NYT
Never Gonna Snow Again,"There’s a stranger in town, and his touch is hypnotic, which is just what these icy, disaffected people needed.",NYT
Nine Days,"In this drama featuring Winston Duke and Zazie Beetz, unborn souls are given a chance at life on Earth.",NYT
Jungle Cruise,"Not even Emily Blunt, doing her best Katharine Hepburn impression, can keep this leaky boat ride afloat.",NYT
Stuntman,This documentary follows the stunt performer Eddie Braun as he attempts to jump Idaho’s Snake River Canyon in a rocket.,NYT
Ailey,Jamila Wignot explores the life of Alvin Ailey in a new documentary that brings a choreographer to life through movement and words.,NYT
Eyimofe (This Is My Desire),The film follows the lives of two individuals in Nigeria who dream of immigrating to Europe to better their prospects.,NYT
Holy Beasts,Geraldine Chaplin offers a commanding performance in this sleek tropical thriller.,NYT
All the Streets Are Silent: The Convergence of Hip Hop and Skateboarding (1987-1997),This documentary is a portrait of downtown New York in the late 1980s and early ’90s that revels in nostalgia.,NYT
Old,"A half-hour at the beach costs vacationers a year in this disquieting new horror puzzler, written and directed by M. Night Shyamalan.",NYT
Val,A documentary about Val Kilmer offers a self-portrait of the artist that’s personal but not quite intimate.,NYT
Settlers,The first feature from Wyatt Rockefeller takes on exploitation and violence against women — and bungles both.,NYT
Broken Diamonds,The drama about a brother caring for a sister uses mental illness as an engine for a predictable plot.,NYT
Mandibles,This breezy bromantic comedy by the French filmmaker Quentin Dupieux follows a pair of lovable idiots and their farcical adventures with an enormous fly.,NYT
The Last Letter from Your Lover,Shailene Woodley and Felicity Jones star as two women living in different eras struggling to uncover the truth behind a series of passionate love letters.,NYT
Gangs of Wasseypur,"The saga &#8220;Gangs of Wasseypur&#8221; is five hours &#8212; and then some &#8212; of gliding camera moves, brutal action and dizzying revenge plotting.",NYT
The Secret in Their Eyes,"This Argentine murder mystery, tinged with regret and longing, won the Academy Award for best foreign-language film.",NYT
Shutter Island,"Martin Scorsese’s camera sense fills every scene with creepiness, but sustained suspense seems beyond him.",NYT
Yojimbo,"Basically a Japanese western, via the great Kurosawa. Brutal but colorful.",NYT
The Seventh Seal,Knight to Death's king. Magnificent Bergman.,NYT
Dial M For Murder,Husband arranges unfaithful wife's killing. Sleekly engrossing Hitchcock.,NYT
The Handmaiden,"This erotic fantasy from Park Chan-wook, set in Korea in the 1930s, tries to ravish your senses so thoroughly you may not notice its sleights of hand.",NYT
Haider,"A mother&#8217;s loyalties and mystery carries the movie &#8220;Haider,&#8221; a version of &#8220;Hamlet.&#8221;",NYT
The Salt of Tears,"In Philippe Garrel’s film, a young Frenchman juggles three women, hoping to be destroyed by love. He gets his wish, but not in a way he imagined.",NYT
Shirley,"Elisabeth Moss stars as Shirley Jackson in Josephine Decker’s gothic, feverish anti-biopic.",NYT
Adopt a Highway,"This quiet drama centers on a man who, soon after leaving prison, finds an abandoned child.",NYT
El Chicano,"In search of a specific Mexican-American identity, Ben Hernandez Bray’s ultraviolent epic follows a masked vigilante who does battle with the city’s gangsters.",NYT
Upgrade,The futuristic world of “Upgrade” creates a perfect killing machine out of Logan Marshall-Green.,NYT
Sgt. Stubby: An American Hero,This animated film focuses on a dog who helped troops during World War I.,NYT
The LEGO Ninjago Movie,"A father, a son and the battle to save a snapped-together city.",NYT
Logan Lucky,"This class-conscious caper, with Channing Tatum and Adam Driver as down-on-their-luck brothers, is ridiculously entertaining.",NYT
Live Cargo,"This first feature by the director Logan Sandler has great acting, stunning imagery and a vivid Caribbean setting. But its words prove elusive.",NYT
Logan,"This is old-school meets new-school pulp filled with intimations of mortality, and raw, ugly violence. And once again, Hugh Jackman plays the Wolverine.",NYT
Indignation,"A period novel by Philip Roth, inspired by his own college years, is the basis of this tale about a young Jewish man and sex and morality in the Korean War era.",NYT
The Invitation,"In this film directed by Karyn Kusama, there’s something off about the hostess, her lair of a house and some of the guests.",NYT
Take Me to the River,A gay California teenager who must closet his sexuality at a gathering in Nebraska suddenly finds himself a target of suspicion.,NYT
Scouts Guide To The Zombie Apocalypse,"In Christopher Landon’s horror comedy, three teenage boys and a strip-club dancer battle the undead.",NYT
Bad Turn Worse,"Zeke and Simon Hawkins&#8217;s &#8220;Bad Turn Worse&#8221; begins with $20,000 missing from a safe in a Texas cotton mill town.",NYT
The Ultimate Life,"“The Ultimate Life,” a follow-up to “The Ultimate Gift,” is about the billionaire oilman Red Stevens and the life lessons he wants pass on to his grandson.",NYT
Percy Jackson: Sea of Monsters,"In “Percy Jackson: Sea of Monsters,” the Golden Fleece must be retrieved to save Camp Half-Blood.",NYT
The Perks of Being a Wallflower,"“The Perks of Being a Wallflower,” about an introvert, touches on the themes often found in movies about teenagers.",NYT
Prometheus,"In “Prometheus,” Ridley Scott returns to the visceral dread of “Alien” as a vessel lumbers through the galactic void.",NYT
The Three Musketeers,“The Three Musketeers” stars Christoph Waltz as the villainous Cardinal Richelieu.,NYT
Groomed,"In this distressing documentary, a filmmaker confronts her own lingering trauma as she explores how perpetrators prime victims for abuse.",NYT
Own the Room,"In this documentary on Disney+, young students compete for $100,000, pitching their ideas, and themselves.",NYT
In My Room,A mass extinction forces a miserable man to dramatically reshape his life in Ulrich Köhler’s uncommonly subtle character study.,NYT
Marianne & Leonard: Words of Love,Nick Broomfield’s remarkable documentary explores the love between Leonard Cohen and Marianne Ihlen.,NYT
Escape Room,"Six players — a war veteran, a grocery stock boy, a finance guy — navigate challenges that turn deadly in this less-than-inspired thriller.",NYT
Whitney: Can I Be Me,"In “Whitney: Can I Be Me,” a behind-the-scenes portrait of the singer’s rise and struggles with fame.",NYT
Green Room,A punk band booked at a roadhouse whose patrons are skinheads unleashes a cover of the Dead Kennedys’ anthem insulting “Nazi punks.” Trouble ensues.,NYT
Room,"Emma Donoghue adapts her acclaimed novel of captivity for the screen, with Brie Larson and Jacob Tremblay starring.",NYT
The Forbidden Room,"This Guy Maddin film, zany one minute, pompous the next, indulges in every imaginable cinematic trickery.",NYT
The Keeping Room,The British director Daniel Barber labors to impress in this Southern period thriller with two Union soldiers preying on two sisters and a slave.,NYT
The Blue Room,"Mathieu Amalric&#8217;s film version of Georges Simenon&#8217;s &#8220;The Blue Room&#8221; deals with adultery, crime and the relationship of sights and sounds.",NYT
The Little Bedroom,"&#8216;The Little Bedroom,&#8217; in French, takes a close look at two human beings sharing their grief while one takes care of the other.",NYT
The Naked Room,“The Naked Room” presents an up-close view of children grappling with emotional trauma in a psychiatric hospital in Mexico City.,NYT
The Maid's Room,"In “The Maid’s Room,” a live-in maid in the Hamptons gains some leverage over her employers.",NYT
Bridegroom,"“Bridegroom,” directed by Linda Bloodworth-Thomason, is about an unmarried gay couple in their 20s and the hardships faced by one of the men when the other dies in an accident.",NYT
Room 237,"In “Room 237,” movie buffs pick apart Stanley Kubrick’s “The Shining,” finding references to the Holocaust and Apollo 11, among others.",NYT
The Playroom,“The Playroom” is a drama about a seemingly ideal family in the 1970s that has several cracks below the surface.,NYT
28 Hotel Rooms,"In “28 Hotel Rooms” an unnamed couple meet in a hotel bar, have a one-night stand and begin a long-running, clandestine affair.",NYT
The Waiting Room,"“The Waiting Room” looks at health care and suffering in an emergency room in Oakland, Calif.",NYT
El Sicario Room 164,"In “El Sicario, Room 164,”’ a reformed hit man for the Mexican drug cartel regales us with 20 years’ worth of kidnapping, torture and cold-blooded murder.",NYT
Relatos salvajes,"This Argentine anthology, an Oscar nominee for best foreign-language film, looks at human behavior when pushed to the extremes.",NYT
Gone Girl,"&#8220;Gone Girl,&#8221; David Fincher&#8217;s movie adaptation of Gillian Flynn&#8217;s best seller, focuses on a young wife who goes missing.",NYT
Kill Bill Vol. 1,"Quentin Tarantino's fourth movie, his first in six years, is astonishingly violent, intermittently fascinating and sometimes tedious. This may be the picture's most serious flaw, since it comes from a man whose worship of action movies from all over the world (but especially Asia) is evident in every frame. Also evident is his obsession with Uma Thurman: by far the most emotionally charged relationship in the movie is the one between the director and his star, who functions as his muse, idol, alter ego and fetish object. Her character, the Bride, is a former assassin whose former lover (that would be Bill) tried to kill her on her wedding day. In this film, the first installment in a two-part revenge epic, the Bride wakes up from a 4-year coma and goes after the hired swords and guns who attacked her. Most of the exposition has been left for Volume Two; this one is an anthology of increasingly violent sequences, some sickening, some rather thrilling, that culminates in a Tokyo nightclub bloodbath  during which Lucy Liu, playing a petite yakuza boss, shows off her Japanese, and also (quite literally) her brains. — A. O. Scott",NYT
Amores Perros,"When a director shifts gears as often as does Alejandro Gonzalez Inarritu, the man behind the emotionally rich debut film &quot;Amores Perros,&quot; you may wonder if he knows what he wants. He does, and this film is satisfying in many ways. He is unashamed to immerse this tough-minded, episodic film noir in freshets of melodrama. Significantly, he knows the minute difference between being unashamed and being shameless, and because he knows how to keep things hopping   —   working from an intricate script by Guillermo Arrianga that has a novelistic texture   —   we watch a man with immaculate control of the medium. — Elvis Mitchell",NYT
The Sixth Sense,"What starts out as a horror movie about a troubled 8-year-old boy (Haley Joel Osment) who claims to see dead people, and the child psychologist (Bruce Willis) determined to cure him, eventually turns into New Age mush (think ''What Dreams May Come'' and ''Simon Birch''). When you trace the plot backward after its big secret is revealed, the story doesn't begin to add up. Mr. Willis gives his usual smirking one-note performance. What empathy the movie generates comes from Mr. Osment's intense portrayal of the tormented child. &#151; Stephen Holden",NYT
Fargo,"Car salesman sets up kidnapping. Coens' snowbound film noir, merry and macabre.",NYT
Every Which Way But Loose,"All over the place. And ever so folksy. Truck driver, promoter and orangutan.",NYT
The Enforcer,Dirty Harry stalks terrorists. Typical early Clint.,NYT
Wells Fargo,"Western with size, color and sweep galore. Bit too crammed for unity and depth. But a real eyeful.",NYT
Jurassic Park III,"Dr. Alan Grant (Sam Neill), who barely escaped alive in the first &quot;Jurassic Park,&quot; returns in this film. He's the leader of an expedition that crash-lands on the dinosaurs' island, putting everyone at the mercy of the park's denizens. Even though this sequel ticks off all the conventions, the movie dashes like a one-track-mind raptor. It's speedy, light on its feet and louder than bombs; it's also a lot more fun than the previous &quot;Park&quot; excursions. Much of the talent behind the cameras has done survival-of-the-fittest films before (Joe Johnston's filmography includes &quot;Jumanji&quot;). And they seem determined to check off all the to-do notes necessary for a prehistoric exploitation picture: we're missing only Raquel Welch in a yummy fur bikini. — Elvis Mitchell
",NYT
The Lost World: Jurassic Park,"Mercenaries, scientists and genetically engineered dinosaurs. Messy but entertaining.",NYT
Jurassic Park,"Spielberg's prehistoric animal blockbuster, via Crichton novel. Gripping.",NYT
Blade Runner 2049,The director Denis Villeneuve tries to both honor Ridley Scott’s 1982 dystopian classic and to slip free of its considerable shadow.,NYT
Blade Runner,"Sci-fi manhunt, via Ridley Scott. Formulaic but great-looking. A classic now.",NYT
The Personal History of David Copperfield,"Armando Iannucci’s souped-up, trimmed-down adaptation of the Dickens novel is an exuberant, heartfelt delight.",NYT
Personal Problems,"The brainchild of the writer Ishmael Reed and the director Bill Gunn, this film is an uncategorizable work of art — and an engrossing one.",NYT
Personal Shopper,Olivier Assayas’s new film is both a supernatural thriller and an unnerving inquiry into the drift and mystery of modern life.,NYT
Personal Tailor,"“Personal Tailor,” a blend of comedy and satire, centers on a fantasy fabrication service that provides wealthy clients with a taste of the lives they have always wanted.",NYT
Nothing Personal,Lotte Verbeek and Stephen Rea star in Urszula Antoniak’s maddeningly enigmatic and sensuous “Nothing Personal.”,NYT
Never Apologize: A Personal Visit with Lindsay Anderson,Malcolm McDowell is thoroughly engaging in “Never Apologize: A Personal Visit With Lindsay Anderson.”,NYT
Personal Velocity,"Filmmakers looking to master the no-budget digital video film need look no further than &quot;Personal Velocity,&quot; where Ellen Kuras's cinematography wields delicacy and freshness. Ms. Kuras understands first and foremost that there's no point in trying to pretend that digital video is the same as film. Instead she uses the strengths of digital and wisely chooses to go smaller; she shoots the picture as if it were hand-painted, an intimacy that complements the writer and director Rebecca Miller's script and handling of her actors. The cumulative effect is that of watching misspent lives disintegrate before your eyes. Her canny accomplishment is a triumph, taking what could be dismissed as women's-picture material and giving it weight and heart. This is one of the finest pictures of the year because Ms. Miller's knowledge of her characters' insides is mirrored by the secure palette of Ms. Kuras's camera work. &#151; Elvis Mitchell",NYT
The Personals,"Though set in a Taipei whose modern gleam is perpetually cloaked in mist and smog, Chen Kuo-fu's film could take place in any city whose residents have purchased material comfort and personal freedom at the cost of loneliness and anomie. This mood of melancholy settles in slowly. For most of its duration, &quot;The Personals&quot; finds humor in the emotional drift and romantic dislocation of urban life. It's an anti-romantic comedy that resolves on a minor chord of grief. The premise is as simple as the execution is elegant. A young eye doctor named Du Jiazhen (Rene Liu) disguises her identity slightly (for most of the film she's addressed as Ms. Wu) and advertises for a suitable mate. What she describes as a &quot;momentary slip&quot; and a possible &quot;route to happiness&quot; turns into a kind of sociological experiment as she meets a succession of candidates in a local tea shop. &#151; A. O. Scott",NYT
Nothing Personal,"So-called truce in 1975 Belfast. Tense, gritty tragedy.",NYT
Up Close and Personal,"Young TV reporter and mentor in love. Old-fashioned romance, tasty but toothless.",NYT
Personal Services,"Dauntless, lively comedy about a British madam.",NYT
The Personals,Deserted husband places ad.,NYT
Personal Best,Olympic runners' lesbian affair. Lacks emotional impact.,NYT
Persona,"Severe-withdrawal patient and nurse. Typical Bergman probing, skilled and moving.",NYT
Personal Affair,"Infatuated girl student. Taut but talky, much better as ``Girls' Dormitory.''.",NYT
What Ever Happened to Baby Jane?,"Plenty, most of it horrible. Two batty, battling ex- film-star sisters. Great ghoulish fun.",NYT
On the Waterfront,"Crooked unionism on Jersey docks, via Kazan. One of the real champs.",NYT
The Raid 2: Berandal,Neither the undercover drama in “The Raid 2” nor its two-and-a-half-hour length bog down its numerous bracing and bloody brawls.,NYT
The Imitation Game,"In &#8220;The Imitation Game&#8221; Benedict Cumberbatch plays Alan Turing, whose code-breaking work helped win World War II yet whose homosexuality led him to face indecency charges in Britain.",NYT
Blade Runner 2049,The director Denis Villeneuve tries to both honor Ridley Scott’s 1982 dystopian classic and to slip free of its considerable shadow.,NYT
Black Swan,In “Black Swan” Natalie Portman plays an ambitious ballerina straining to handle stardom.,NYT
The Black Swan,"Ripe, full-rigged pirate adventure. Power's peak.",NYT
Elite Squad: The Enemy Within,"“Elite Squad: The Enemy Within,” José Padilha’s action thriller, depicts a Brazil writhing with drug violence and corruption.",NYT
Elite Squad,"“Elite Squad” is a relentlessly ugly, unpleasant, often incoherent assault on the senses from Brazil.",NYT
Blood Diamond,"The makers of this exceptionally foolish thriller starring a most excellent Leonardo DiCaprio want you to know there may be blood on your hands, specifically your wedding finger.",NYT
The Bourne Ultimatum,"For Jason Bourne, who rises and rises again in this fantastically kinetic, propulsive film, resurrection is the name of the game, just as it is for franchises.",NYT
Casino Royale,"The latest James Bond vehicle finds the British spy leaner, meaner and a whole lot darker.",NYT
Casino Royale,"All-star mulligan stew, bubbles and fizzles about evenly.",NYT
Your Name Engraved Herein,The filmmaker Patrick Liu keeps the focus on the two young men in this Taiwanese drama and blurs the rest.,NYT
Tatara Samurai,This historical action movie from Yoshinari Nishikori has a laudably realistic grit and takes an unexpected turn for a film of its genre.,NYT
